policy_id,customer_id,policy_type,add_on_cover,vehicle_model,vehicle_make,vehicle_type,fuel_type,vehicle_year,idv,premium_amount
853,2114,Third Party,Consumables Cover,Fortuner,Toyota,MUV,Diesel,2024,857705,39670
854,1192,Comprehensive,No Add-on,Kushaq,Skoda,Sedan,CNG,2015,309730,50798
855,2377,Own Damage,Roadside Assistance,Safari,Tata,Compact SUV,Electric,2022,1932102,29567
856,1011,Third Party,No Add-on,Venue,Hyundai,Compact SUV,Electric,2016,1500977,35550
857,913,Own Damage,Return to Invoice,Venue,Hyundai,Compact SUV,Petrol,2025,1135439,15307
858,1126,Comprehensive,No Add-on,Baleno,Maruti Suzuki,Hatchback,Diesel,2020,505000,15127
859,2679,Own Damage,No Add-on,Harrier,Tata,Compact SUV,Hybrid,2022,287385,9822
860,763,Own Damage,Engine Protect,Punch,Tata,Compact SUV,Electric,2015,1319549,5522
861,1748,Third Party,Engine Protect,WagonR,Maruti Suzuki,Hatchback,CNG,2020,478207,51129
862,142,Comprehensive,Zero Depreciation,Kiger,Renault,Compact SUV,CNG,2018,768215,53673
863,2042,Third Party,Engine Protect,Sonet,Kia,Compact SUV,Electric,2023,303988,36104
864,21,Own Damage,Engine Protect,Nexon,Tata,Compact SUV,Petrol,2019,1481652,38778
865,2079,Comprehensive,Roadside Assistance,Baleno,Maruti Suzuki,Hatchback,Diesel,2015,1672369,10154
866,2691,Third Party,Zero Depreciation,WagonR,Maruti Suzuki,Hatchback,Electric,2018,1349896,8118
867,2614,Own Damage,No Add-on,Punch,Tata,Compact SUV,Petrol,2021,688464,41770
868,2807,Own Damage,Engine Protect,Seltos,Kia,Compact SUV,CNG,2023,1423938,23935
869,683,Comprehensive,Consumables Cover,Harrier,Tata,Compact SUV,Hybrid,2017,1725983,56857
870,1922,Own Damage,Return to Invoice,Harrier,Tata,Compact SUV,Petrol,2020,726667,58776
871,1857,Third Party,No Add-on,Slavia,Skoda,Sedan,Petrol,2023,1854864,24559
872,2023,Third Party,No Add-on,Kiger,Renault,Compact SUV,Hybrid,2024,600565,14663
873,1307,Comprehensive,Zero Depreciation,Harrier,Tata,Compact SUV,Hybrid,2017,709695,32714
874,1194,Comprehensive,Consumables Cover,Venue,Hyundai,Compact SUV,Petrol,2019,264651,38258
875,1578,Third Party,Consumables Cover,Innova,Toyota,MUV,Hybrid,2018,760819,49908
876,2435,Third Party,Roadside Assistance,City,Honda,Sedan,Hybrid,2021,1761667,25786
877,2464,Third Party,Roadside Assistance,Sonet,Kia,Compact SUV,Diesel,2022,1615729,11026
878,2284,Third Party,Return to Invoice,Fortuner,Toyota,MUV,Petrol,2021,327936,35760
879,2164,Third Party,No Add-on,WagonR,Maruti Suzuki,Hatchback,Petrol,2022,376050,56940
880,691,Own Damage,Consumables Cover,Scorpio,Mahindra,SUV,Petrol,2025,1199809,19574
881,94,Own Damage,Consumables Cover,XUV700,Mahindra,SUV,CNG,2021,1116730,39508
882,1352,Third Party,Return to Invoice,i20,Hyundai,Compact SUV,Petrol,2016,743329,18853
883,880,Own Damage,Consumables Cover,Sonet,Kia,Compact SUV,Diesel,2014,1540387,16519
884,2471,Comprehensive,Zero Depreciation,Fortuner,Toyota,MUV,Petrol,2024,139025,43260
885,620,Own Damage,Return to Invoice,Nexon,Tata,Compact SUV,CNG,2019,831615,39444
886,1147,Comprehensive,Zero Depreciation,Magnite,Nissan,Compact SUV,Hybrid,2014,1322683,11843
887,364,Comprehensive,Return to Invoice,i20,Hyundai,Compact SUV,Electric,2015,1512040,37064
888,1936,Own Damage,Engine Protect,Kiger,Renault,Compact SUV,Electric,2020,1743383,33598
889,926,Comprehensive,Return to Invoice,City,Honda,Sedan,Petrol,2020,1559067,14128
890,526,Third Party,Consumables Cover,WagonR,Maruti Suzuki,Hatchback,Hybrid,2019,842523,52344
891,757,Own Damage,No Add-on,XUV700,Mahindra,SUV,Petrol,2020,1877452,33482
892,1183,Own Damage,Zero Depreciation,City,Honda,Sedan,CNG,2022,1114273,25321
893,2990,Third Party,Consumables Cover,Creta,Hyundai,Compact SUV,Electric,2019,1737717,47686
894,2863,Comprehensive,Consumables Cover,Kiger,Renault,Compact SUV,Electric,2023,1086905,21236
895,746,Third Party,Zero Depreciation,Baleno,Maruti Suzuki,Hatchback,Petrol,2023,1976080,10122
896,1354,Comprehensive,No Add-on,Sonet,Kia,Compact SUV,CNG,2025,479863,53696
897,1616,Third Party,Roadside Assistance,Astor,MG,SUV,Petrol,2023,1199932,6437
898,276,Comprehensive,Consumables Cover,XUV700,Mahindra,SUV,Electric,2019,1925808,7323
899,810,Comprehensive,Engine Protect,Kiger,Renault,Compact SUV,Hybrid,2022,949758,55559
900,1346,Comprehensive,Zero Depreciation,Creta,Hyundai,Compact SUV,Hybrid,2021,866838,42229
901,2331,Own Damage,Return to Invoice,Innova,Toyota,MUV,Electric,2025,556651,21604
902,1912,Third Party,Consumables Cover,Kiger,Renault,Compact SUV,Hybrid,2022,1779329,53013
903,2657,Own Damage,Roadside Assistance,Magnite,Nissan,Compact SUV,Petrol,2021,1840309,47326
904,2820,Third Party,Consumables Cover,i20,Hyundai,Compact SUV,Petrol,2024,1250691,11408
905,1271,Third Party,Engine Protect,i20,Hyundai,Compact SUV,Petrol,2018,660377,59000
906,512,Comprehensive,Zero Depreciation,Safari,Tata,Compact SUV,Petrol,2015,796418,30993
907,2904,Own Damage,Zero Depreciation,Punch,Tata,Compact SUV,Diesel,2021,1801181,36303
908,2612,Third Party,Consumables Cover,Kushaq,Skoda,Sedan,Electric,2015,256063,24198
909,54,Own Damage,Return to Invoice,XUV700,Mahindra,SUV,Petrol,2014,1541668,10747
910,2762,Own Damage,Roadside Assistance,Astor,MG,SUV,Petrol,2017,978344,13618
911,2123,Comprehensive,Roadside Assistance,Sonet,Kia,Compact SUV,Hybrid,2022,1692784,5709
912,2152,Third Party,No Add-on,City,Honda,Sedan,Electric,2024,337021,16326
913,286,Third Party,Engine Protect,WagonR,Maruti Suzuki,Hatchback,CNG,2016,505216,39653
914,1090,Own Damage,No Add-on,Venue,Hyundai,Compact SUV,Diesel,2022,985631,7447
915,1914,Comprehensive,Roadside Assistance,Punch,Tata,Compact SUV,Diesel,2014,1111387,8320
916,309,Own Damage,No Add-on,Kushaq,Skoda,Sedan,Diesel,2024,794735,16411
917,2243,Third Party,Engine Protect,Creta,Hyundai,Compact SUV,Hybrid,2018,220343,55294
918,1225,Own Damage,Zero Depreciation,WagonR,Maruti Suzuki,Hatchback,Petrol,2023,1804036,40257
919,146,Comprehensive,Return to Invoice,i20,Hyundai,Compact SUV,Petrol,2024,927682,14416
920,1820,Third Party,Roadside Assistance,XUV700,Mahindra,SUV,Petrol,2021,1910230,7991
921,2206,Comprehensive,Roadside Assistance,Baleno,Maruti Suzuki,Hatchback,Hybrid,2022,780265,18930
922,228,Third Party,Engine Protect,Sonet,Kia,Compact SUV,Electric,2017,366319,53510
923,1826,Comprehensive,Zero Depreciation,i20,Hyundai,Compact SUV,Diesel,2014,535863,55254
924,29,Third Party,Return to Invoice,Venue,Hyundai,Compact SUV,Diesel,2023,308728,25660
925,2509,Comprehensive,Roadside Assistance,Venue,Hyundai,Compact SUV,Petrol,2023,1883519,42595
926,665,Comprehensive,No Add-on,Innova,Toyota,MUV,Hybrid,2014,1352248,30949
927,1964,Comprehensive,Return to Invoice,Punch,Tata,Compact SUV,CNG,2016,1405884,26248
928,617,Own Damage,Zero Depreciation,Scorpio,Mahindra,SUV,Electric,2016,1964438,13567
929,624,Comprehensive,Zero Depreciation,Sonet,Kia,Compact SUV,Petrol,2015,1420520,14859
930,2271,Own Damage,Roadside Assistance,Astor,MG,SUV,Hybrid,2023,1922416,6244
931,2338,Own Damage,Return to Invoice,XUV700,Mahindra,SUV,Electric,2015,1045182,23055
932,735,Own Damage,No Add-on,Swift,Maruti Suzuki,Hatchback,Petrol,2022,146499,59537
933,1369,Comprehensive,No Add-on,Punch,Tata,Compact SUV,Petrol,2022,1294051,44572
934,1426,Third Party,Roadside Assistance,Slavia,Skoda,Sedan,Electric,2018,426437,29553
935,962,Comprehensive,Return to Invoice,Magnite,Nissan,Compact SUV,Petrol,2022,872253,43073
936,1290,Third Party,Consumables Cover,Venue,Hyundai,Compact SUV,Diesel,2021,1705139,48871
937,538,Comprehensive,No Add-on,XUV700,Mahindra,SUV,Petrol,2014,1373271,25745
938,1478,Comprehensive,Roadside Assistance,XUV700,Mahindra,SUV,Diesel,2015,1596497,13506
939,1777,Own Damage,Roadside Assistance,Kiger,Renault,Compact SUV,Petrol,2019,1546649,52155
940,1734,Third Party,Consumables Cover,Nexon,Tata,Compact SUV,Electric,2017,924014,26534
941,39,Third Party,Consumables Cover,City,Honda,Sedan,Hybrid,2017,1456528,11026
942,2762,Comprehensive,Consumables Cover,Slavia,Skoda,Sedan,Hybrid,2017,1126386,10646
943,524,Own Damage,Consumables Cover,Nexon,Tata,Compact SUV,Petrol,2024,1515949,18216
944,443,Comprehensive,Engine Protect,Seltos,Kia,Compact SUV,Hybrid,2022,489924,44526
945,1504,Comprehensive,Zero Depreciation,Scorpio,Mahindra,SUV,Petrol,2014,1632853,55870
946,1115,Third Party,Consumables Cover,XUV700,Mahindra,SUV,CNG,2019,1383379,49116
947,251,Own Damage,Roadside Assistance,i20,Hyundai,Compact SUV,Diesel,2019,1774760,36154
948,416,Comprehensive,Consumables Cover,Slavia,Skoda,Sedan,Diesel,2023,1674003,34023
949,175,Third Party,Zero Depreciation,Swift,Maruti Suzuki,Hatchback,Diesel,2017,213207,6773
950,1409,Third Party,Return to Invoice,Magnite,Nissan,Compact SUV,Hybrid,2025,1542945,19273
951,619,Comprehensive,No Add-on,Innova,Toyota,MUV,Electric,2021,712049,17244
952,1278,Comprehensive,Roadside Assistance,Harrier,Tata,Compact SUV,Electric,2025,1310964,19504
953,1595,Comprehensive,Consumables Cover,Punch,Tata,Compact SUV,CNG,2018,1517994,52096
954,242,Third Party,Return to Invoice,Astor,MG,SUV,Petrol,2019,123666,26864
955,430,Third Party,Zero Depreciation,City,Honda,Sedan,Hybrid,2017,629747,24719
956,2030,Own Damage,Roadside Assistance,Harrier,Tata,Compact SUV,Petrol,2024,975435,4278
957,1839,Comprehensive,No Add-on,Scorpio,Mahindra,SUV,CNG,2015,688678,37359
958,2788,Third Party,Roadside Assistance,XUV700,Mahindra,SUV,Hybrid,2024,1708683,27571
959,1517,Comprehensive,Engine Protect,Venue,Hyundai,Compact SUV,Petrol,2017,875280,50829
960,52,Own Damage,Consumables Cover,Sonet,Kia,Compact SUV,Diesel,2020,1099175,23782
961,1586,Comprehensive,Roadside Assistance,XUV700,Mahindra,SUV,Petrol,2017,978689,45677
962,656,Third Party,Engine Protect,Harrier,Tata,Compact SUV,Diesel,2021,1809228,6678
963,838,Own Damage,Zero Depreciation,i20,Hyundai,Compact SUV,CNG,2015,747929,19299
964,796,Own Damage,No Add-on,Baleno,Maruti Suzuki,Hatchback,Petrol,2019,1704636,55849
965,2694,Third Party,Roadside Assistance,Sonet,Kia,Compact SUV,Hybrid,2016,1106299,45512
966,1415,Comprehensive,Zero Depreciation,Kiger,Renault,Compact SUV,Petrol,2019,927860,12912
967,1502,Own Damage,No Add-on,Harrier,Tata,Compact SUV,Petrol,2024,496206,58631
968,1330,Comprehensive,Consumables Cover,Amaze,Honda,Sedan,Diesel,2023,782449,40054
969,1233,Third Party,Zero Depreciation,Swift,Maruti Suzuki,Hatchback,Hybrid,2019,219996,42995
970,1839,Comprehensive,Consumables Cover,Magnite,Nissan,Compact SUV,Diesel,2014,361183,51204
971,2459,Comprehensive,No Add-on,Innova,Toyota,MUV,Petrol,2022,398992,6514
972,2426,Comprehensive,Zero Depreciation,Swift,Maruti Suzuki,Hatchback,Petrol,2021,1555549,4593
973,462,Comprehensive,Consumables Cover,Creta,Hyundai,Compact SUV,Petrol,2025,1185750,45855
974,2216,Own Damage,Zero Depreciation,Seltos,Kia,Compact SUV,CNG,2023,778297,10748
975,837,Third Party,Roadside Assistance,i20,Hyundai,Compact SUV,Petrol,2015,1280665,19835
976,1182,Third Party,Consumables Cover,Kushaq,Skoda,Sedan,Diesel,2016,1880694,16826
977,442,Third Party,No Add-on,Amaze,Honda,Sedan,Electric,2016,171226,46020
978,2304,Third Party,No Add-on,Kiger,Renault,Compact SUV,Electric,2022,1923458,16311
979,1255,Own Damage,Roadside Assistance,WagonR,Maruti Suzuki,Hatchback,Diesel,2016,1311200,14002
980,1112,Comprehensive,Consumables Cover,City,Honda,Sedan,Petrol,2019,1929233,52767
981,1177,Own Damage,Consumables Cover,Magnite,Nissan,Compact SUV,Petrol,2023,1574454,29754
982,452,Third Party,Roadside Assistance,Scorpio,Mahindra,SUV,Hybrid,2024,582264,33088
983,710,Comprehensive,Engine Protect,Magnite,Nissan,Compact SUV,Petrol,2015,581048,57053
984,1213,Comprehensive,No Add-on,Fortuner,Toyota,MUV,Diesel,2017,974478,41489
985,2583,Third Party,Zero Depreciation,Venue,Hyundai,Compact SUV,Diesel,2016,1519809,42251
986,308,Own Damage,Zero Depreciation,Astor,MG,SUV,Diesel,2017,459928,21289
987,2916,Third Party,Roadside Assistance,City,Honda,Sedan,Electric,2024,1436848,44254
988,2789,Comprehensive,Roadside Assistance,Astor,MG,SUV,CNG,2021,1869742,40626
989,951,Own Damage,Return to Invoice,Kiger,Renault,Compact SUV,Hybrid,2022,1181265,53564
990,1596,Comprehensive,Return to Invoice,WagonR,Maruti Suzuki,Hatchback,Electric,2021,377880,46434
991,240,Comprehensive,Engine Protect,Slavia,Skoda,Sedan,Electric,2017,413136,7303
992,952,Own Damage,Return to Invoice,Punch,Tata,Compact SUV,Petrol,2014,1353842,11569
993,1316,Own Damage,Zero Depreciation,Nexon,Tata,Compact SUV,Hybrid,2019,918605,54115
994,2369,Own Damage,Roadside Assistance,Innova,Toyota,MUV,Petrol,2024,1268077,54467
995,1782,Comprehensive,Roadside Assistance,Baleno,Maruti Suzuki,Hatchback,Hybrid,2022,1480299,36875
996,929,Comprehensive,No Add-on,Scorpio,Mahindra,SUV,Diesel,2018,134630,40526
997,2841,Own Damage,Consumables Cover,Swift,Maruti Suzuki,Hatchback,Petrol,2024,1862532,29824
998,2578,Own Damage,Return to Invoice,Nexon,Tata,Compact SUV,Petrol,2018,1051430,30050
999,804,Third Party,Engine Protect,Safari,Tata,Compact SUV,Petrol,2021,1300015,3518
1000,1101,Comprehensive,Engine Protect,Baleno,Maruti Suzuki,Hatchback,Petrol,2024,1509730,32426
1001,2412,Own Damage,Engine Protect,Harrier,Tata,Compact SUV,Petrol,2017,594887,40938
1002,649,Third Party,Return to Invoice,XUV700,Mahindra,SUV,Petrol,2015,574653,49671
1003,1308,Own Damage,Roadside Assistance,Sonet,Kia,Compact SUV,Hybrid,2025,440861,43176
1004,2022,Third Party,Engine Protect,Innova,Toyota,MUV,Petrol,2014,1198237,35887
1005,1112,Own Damage,Roadside Assistance,Swift,Maruti Suzuki,Hatchback,CNG,2015,152503,26055
1006,1594,Comprehensive,Zero Depreciation,i20,Hyundai,Compact SUV,Hybrid,2016,1414496,6654
1007,2468,Own Damage,No Add-on,Innova,Toyota,MUV,CNG,2014,891867,56332
1008,2090,Own Damage,No Add-on,XUV700,Mahindra,SUV,Hybrid,2024,834400,45323
1009,229,Comprehensive,Consumables Cover,i20,Hyundai,Compact SUV,Hybrid,2020,1118624,24429
1010,573,Third Party,Roadside Assistance,Venue,Hyundai,Compact SUV,Petrol,2020,1459736,42064
1011,520,Own Damage,Return to Invoice,WagonR,Maruti Suzuki,Hatchback,Hybrid,2019,1006948,14095
1012,1652,Own Damage,Roadside Assistance,Scorpio,Mahindra,SUV,Petrol,2022,587059,5872
1013,2132,Third Party,Roadside Assistance,Baleno,Maruti Suzuki,Hatchback,Petrol,2022,460253,35631
1014,2787,Comprehensive,Return to Invoice,Baleno,Maruti Suzuki,Hatchback,Hybrid,2024,1883540,27243
1015,2766,Comprehensive,Return to Invoice,Amaze,Honda,Sedan,CNG,2020,1948464,25316
1016,2028,Own Damage,Engine Protect,Creta,Hyundai,Compact SUV,Petrol,2015,1707383,49709
1017,1442,Third Party,Consumables Cover,Kushaq,Skoda,Sedan,Petrol,2023,262716,46221
1018,254,Own Damage,No Add-on,City,Honda,Sedan,Petrol,2020,250239,53300
1019,584,Own Damage,Return to Invoice,Swift,Maruti Suzuki,Hatchback,Petrol,2020,834574,58632
1020,823,Own Damage,Return to Invoice,i20,Hyundai,Compact SUV,Diesel,2021,345113,59948
1021,2556,Comprehensive,No Add-on,Scorpio,Mahindra,SUV,CNG,2015,1710693,22862
1022,2739,Comprehensive,No Add-on,Swift,Maruti Suzuki,Hatchback,Hybrid,2021,674906,50118
1023,1517,Third Party,Return to Invoice,Baleno,Maruti Suzuki,Hatchback,Petrol,2024,1247464,10356
1024,1397,Own Damage,Roadside Assistance,Magnite,Nissan,Compact SUV,CNG,2018,287352,46935
1025,716,Own Damage,Engine Protect,Harrier,Tata,Compact SUV,CNG,2016,1635630,37817
1026,532,Own Damage,Engine Protect,Astor,MG,SUV,Hybrid,2021,1241476,21997
1027,1723,Own Damage,No Add-on,Scorpio,Mahindra,SUV,Hybrid,2014,665408,54013
1028,2299,Third Party,Engine Protect,i20,Hyundai,Compact SUV,Hybrid,2024,1927643,11256
1029,1412,Comprehensive,Roadside Assistance,Harrier,Tata,Compact SUV,Hybrid,2018,831458,37749
1030,1390,Own Damage,Roadside Assistance,XUV700,Mahindra,SUV,Electric,2018,1308891,45696
1031,1898,Third Party,Zero Depreciation,Amaze,Honda,Sedan,Petrol,2023,826289,19942
1032,996,Third Party,Zero Depreciation,Astor,MG,SUV,Electric,2019,1448396,43780
1033,2039,Third Party,Zero Depreciation,Amaze,Honda,Sedan,Petrol,2014,752632,8117
1034,165,Comprehensive,Zero Depreciation,City,Honda,Sedan,Electric,2019,1453022,21423
1035,423,Third Party,Zero Depreciation,Amaze,Honda,Sedan,CNG,2021,1935837,27120
1036,2752,Comprehensive,Zero Depreciation,XUV700,Mahindra,SUV,Electric,2017,1951428,40641
1037,334,Third Party,Consumables Cover,Safari,Tata,Compact SUV,Diesel,2025,1769567,20791
1038,459,Own Damage,Engine Protect,Amaze,Honda,Sedan,Hybrid,2016,1278385,38868
1039,1070,Comprehensive,No Add-on,Punch,Tata,Compact SUV,Diesel,2020,239082,50612
1040,619,Own Damage,Return to Invoice,City,Honda,Sedan,Electric,2015,373924,51762
1041,903,Comprehensive,Roadside Assistance,Harrier,Tata,Compact SUV,Hybrid,2022,1506920,14119
1042,1825,Comprehensive,No Add-on,Magnite,Nissan,Compact SUV,Petrol,2017,953734,13604
1043,1474,Own Damage,Zero Depreciation,Scorpio,Mahindra,SUV,Petrol,2023,113820,35560
1044,510,Third Party,Zero Depreciation,Kiger,Renault,Compact SUV,CNG,2017,1728975,38891
1045,1613,Own Damage,Zero Depreciation,Innova,Toyota,MUV,Petrol,2017,213888,31675
1046,2771,Own Damage,No Add-on,XUV700,Mahindra,SUV,Diesel,2015,425550,13428
1047,293,Comprehensive,Roadside Assistance,Scorpio,Mahindra,SUV,Electric,2023,1361683,46619
1048,2920,Third Party,Roadside Assistance,Fortuner,Toyota,MUV,Electric,2016,939845,9436
1049,2417,Comprehensive,Zero Depreciation,Harrier,Tata,Compact SUV,Diesel,2014,257849,11530
1050,2677,Comprehensive,No Add-on,Fortuner,Toyota,MUV,Diesel,2017,542378,40797
1051,1168,Third Party,Return to Invoice,Nexon,Tata,Compact SUV,Electric,2023,1655699,31312
1052,895,Own Damage,Return to Invoice,WagonR,Maruti Suzuki,Hatchback,Electric,2015,430281,47861
1053,2323,Third Party,Zero Depreciation,Magnite,Nissan,Compact SUV,CNG,2016,706043,38298
1054,1565,Own Damage,Zero Depreciation,Innova,Toyota,MUV,Petrol,2022,725224,41599
1055,2864,Comprehensive,No Add-on,Amaze,Honda,Sedan,Petrol,2019,1114114,27714
1056,1592,Comprehensive,No Add-on,XUV700,Mahindra,SUV,Hybrid,2018,1033548,45410
1057,2386,Own Damage,Zero Depreciation,Kushaq,Skoda,Sedan,Hybrid,2017,646977,23830
1058,2207,Comprehensive,Return to Invoice,Slavia,Skoda,Sedan,Diesel,2014,1777001,41009
1059,911,Third Party,No Add-on,Sonet,Kia,Compact SUV,Electric,2016,1871153,59392
1060,391,Own Damage,Return to Invoice,Swift,Maruti Suzuki,Hatchback,Hybrid,2018,1055091,33496
1061,1752,Own Damage,Zero Depreciation,Kushaq,Skoda,Sedan,Diesel,2018,834487,16070
1062,241,Comprehensive,Zero Depreciation,Amaze,Honda,Sedan,CNG,2022,1362059,22364
1063,1495,Own Damage,Zero Depreciation,Slavia,Skoda,Sedan,CNG,2025,1868578,12636
1064,2025,Comprehensive,Return to Invoice,XUV700,Mahindra,SUV,Electric,2024,236605,20032
1065,168,Third Party,Roadside Assistance,Kiger,Renault,Compact SUV,Diesel,2016,1610756,46849
1066,723,Third Party,Zero Depreciation,Astor,MG,SUV,Hybrid,2023,935053,20254
1067,752,Own Damage,Engine Protect,Nexon,Tata,Compact SUV,Petrol,2023,1290061,25778
1068,877,Third Party,Zero Depreciation,Fortuner,Toyota,MUV,Hybrid,2021,1785489,47296
1069,2970,Own Damage,No Add-on,Fortuner,Toyota,MUV,Petrol,2023,255257,25820
1070,526,Third Party,No Add-on,XUV700,Mahindra,SUV,Petrol,2018,1999627,21393
1071,853,Third Party,Consumables Cover,Fortuner,Toyota,MUV,CNG,2014,1922806,35278
1072,1038,Comprehensive,Consumables Cover,Astor,MG,SUV,Electric,2023,903161,52129
1073,1569,Third Party,Return to Invoice,Astor,MG,SUV,Hybrid,2018,1347489,41717
1074,2351,Own Damage,Consumables Cover,Nexon,Tata,Compact SUV,CNG,2016,349698,20783
1075,2968,Comprehensive,Engine Protect,Seltos,Kia,Compact SUV,Hybrid,2015,1169692,10414
1076,1084,Comprehensive,Engine Protect,Harrier,Tata,Compact SUV,CNG,2019,910558,8622
1077,2239,Third Party,Roadside Assistance,Swift,Maruti Suzuki,Hatchback,Diesel,2015,119105,3068
1078,2600,Comprehensive,Return to Invoice,Baleno,Maruti Suzuki,Hatchback,Petrol,2017,1750816,5814
1079,619,Third Party,Return to Invoice,Amaze,Honda,Sedan,CNG,2019,1987307,50535
1080,2251,Third Party,Zero Depreciation,Magnite,Nissan,Compact SUV,Diesel,2022,1017135,54040
1081,693,Third Party,Return to Invoice,i20,Hyundai,Compact SUV,Hybrid,2016,858511,44619
1082,2248,Own Damage,Consumables Cover,Amaze,Honda,Sedan,Petrol,2018,286542,47348
1083,1055,Own Damage,Engine Protect,Amaze,Honda,Sedan,Electric,2024,1821825,42338
1084,1305,Own Damage,Zero Depreciation,XUV700,Mahindra,SUV,Diesel,2017,213720,34498
1085,2158,Own Damage,No Add-on,WagonR,Maruti Suzuki,Hatchback,Petrol,2022,1314447,28741
1086,919,Comprehensive,Engine Protect,Creta,Hyundai,Compact SUV,Diesel,2018,230276,32494
1087,2442,Comprehensive,Zero Depreciation,Safari,Tata,Compact SUV,CNG,2014,1662231,15423
1088,2961,Comprehensive,Roadside Assistance,XUV700,Mahindra,SUV,Hybrid,2017,1104439,40539
1089,319,Own Damage,Zero Depreciation,Sonet,Kia,Compact SUV,Electric,2021,1773550,56571
1090,286,Comprehensive,No Add-on,Swift,Maruti Suzuki,Hatchback,Diesel,2019,1994831,18550
1091,778,Third Party,Engine Protect,Venue,Hyundai,Compact SUV,Petrol,2015,1261746,53922
1092,1713,Comprehensive,No Add-on,Safari,Tata,Compact SUV,Petrol,2015,1439148,25193
1093,2134,Third Party,Return to Invoice,Sonet,Kia,Compact SUV,Petrol,2016,631282,45135
1094,171,Own Damage,Engine Protect,Punch,Tata,Compact SUV,Diesel,2016,303772,15697
1095,1994,Comprehensive,Zero Depreciation,Nexon,Tata,Compact SUV,Petrol,2019,333712,23680
1096,1747,Third Party,Engine Protect,Nexon,Tata,Compact SUV,Diesel,2020,642269,46389
1097,2472,Third Party,Roadside Assistance,Scorpio,Mahindra,SUV,Diesel,2023,1293526,13393
1098,9,Third Party,Return to Invoice,i20,Hyundai,Compact SUV,Petrol,2015,602251,5945
1099,1762,Own Damage,Engine Protect,Nexon,Tata,Compact SUV,Petrol,2014,427532,36552
1100,809,Third Party,Consumables Cover,Creta,Hyundai,Compact SUV,CNG,2019,1895498,15560
1101,2179,Own Damage,Return to Invoice,Creta,Hyundai,Compact SUV,Electric,2016,466811,26788
1102,2919,Own Damage,No Add-on,Astor,MG,SUV,Electric,2024,1230245,28967
1103,2296,Own Damage,Return to Invoice,Venue,Hyundai,Compact SUV,CNG,2017,478842,44411
1104,1387,Own Damage,Zero Depreciation,Amaze,Honda,Sedan,Petrol,2020,534844,56289
1105,1948,Own Damage,Consumables Cover,Sonet,Kia,Compact SUV,Petrol,2020,552151,8683
1106,1242,Third Party,No Add-on,Swift,Maruti Suzuki,Hatchback,Petrol,2019,414815,45710
1107,288,Comprehensive,No Add-on,Safari,Tata,Compact SUV,CNG,2019,745804,7489
1108,2835,Third Party,Consumables Cover,Safari,Tata,Compact SUV,CNG,2019,94871,10554
1109,2939,Comprehensive,Engine Protect,Safari,Tata,Compact SUV,CNG,2018,1661032,44373
1110,566,Comprehensive,Return to Invoice,Harrier,Tata,Compact SUV,Petrol,2019,1854079,3107
1111,1289,Third Party,Roadside Assistance,City,Honda,Sedan,Petrol,2023,1104099,29366
1112,2241,Comprehensive,Consumables Cover,Magnite,Nissan,Compact SUV,Petrol,2023,1169994,22772
1113,2357,Third Party,No Add-on,XUV700,Mahindra,SUV,Diesel,2019,1965806,43312
1114,719,Comprehensive,Roadside Assistance,Kushaq,Skoda,Sedan,Electric,2015,1837510,3946
1115,2071,Own Damage,Consumables Cover,Slavia,Skoda,Sedan,Petrol,2018,1602646,52229
1116,246,Own Damage,No Add-on,Magnite,Nissan,Compact SUV,Hybrid,2016,1587759,8652
1117,1257,Third Party,Roadside Assistance,WagonR,Maruti Suzuki,Hatchback,Petrol,2017,1252014,26481
1118,365,Comprehensive,No Add-on,Slavia,Skoda,Sedan,CNG,2017,86810,29025
1119,2348,Comprehensive,Return to Invoice,Innova,Toyota,MUV,Electric,2020,1591720,24096
1120,1797,Own Damage,Consumables Cover,Fortuner,Toyota,MUV,Petrol,2015,295718,35598
1121,765,Own Damage,No Add-on,XUV700,Mahindra,SUV,Hybrid,2025,612843,18184
1122,2063,Own Damage,No Add-on,Safari,Tata,Compact SUV,Petrol,2021,1918354,19614
1123,880,Third Party,Zero Depreciation,Astor,MG,SUV,Petrol,2016,416966,49683
1124,1291,Own Damage,Roadside Assistance,Sonet,Kia,Compact SUV,Petrol,2024,1684759,36599
1125,1780,Comprehensive,Zero Depreciation,Scorpio,Mahindra,SUV,Petrol,2017,520240,42939
1126,2411,Comprehensive,Return to Invoice,Seltos,Kia,Compact SUV,Petrol,2021,942374,14181
1127,178,Third Party,Zero Depreciation,Astor,MG,SUV,Hybrid,2021,967765,40176
1128,407,Own Damage,Return to Invoice,XUV700,Mahindra,SUV,CNG,2025,1556181,48066
1129,1640,Comprehensive,Zero Depreciation,Baleno,Maruti Suzuki,Hatchback,Electric,2015,1241112,51882
1130,1277,Comprehensive,Roadside Assistance,Fortuner,Toyota,MUV,CNG,2016,524870,26956
1131,302,Third Party,No Add-on,Slavia,Skoda,Sedan,Hybrid,2023,1452297,15697
1132,781,Comprehensive,Roadside Assistance,Venue,Hyundai,Compact SUV,Petrol,2015,1012063,39746
1133,2730,Third Party,Return to Invoice,Harrier,Tata,Compact SUV,Petrol,2022,828390,6837
1134,839,Comprehensive,No Add-on,Fortuner,Toyota,MUV,Diesel,2020,1705872,4296
